booking_charge_desc,seriousness,category,type,notes,src,,,,,
FEL DV CRT ORD VIO,,class C felony,violent,felony assumes prior convictions of individual or violent intent of violation ,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
FEL HARASS (NON DV),,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
"FEL HARASS-DV, DV-THREATS/DEATH THRT",,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
FEL POS F/A,,class B felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
FEL POSS DANGEROUS WEAPON,,gross misdemeanor,public order,RCW says this would be a gross misdemeanor but the charge name implies felony ,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
FEL POSS F/A 2,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
FEL PUR/ELUDE,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.024,,,,,
FEL VEHICLE PROWL,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.095,,,,,
FELONY DUI,,class B felony,public order,felony DUI only triggered by other actions/descriptors of the DUI,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
FELONY STALKING,,class B felony,violent,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.46.110,,,,,
FIGHT IN PUB,,misdemeanor,violent,assume its covered under misdemeanor disorderly conduct but unclear,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
FINANCIAL FRAUD-UNL POSS PROD/INST,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
FIREARM SALE/TRANSFER VIOLATION,,gross misdemeanor,public order,Class C felony w/ prior conviction,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.115,,,,,
FIREWORKS PROHIBITED,,civil infraction,public order,penalties found in WAC not RCW,http://app.leg.wa.gov/wac/default.aspx?cite=212-17-515,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77.401
FLD TO OBEY POLICE OFFICER,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
FOOD STAMPS-TRAFFICKING,,class C felony,public order,gross misdemeanor if stamp value <$100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.91.142,,,,,
FORGERY,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.020,,,,,
FTR ACC (INJ),,other,public order,FTR seems to = failure to respond ,,,,,,
FTR ACC (PROP),,other,public order,,,,,,,
FTR INJ ACC,,other,public order,,,,,,,
FUGITIVE,,,,,,,,,,
FURNISH ALCOHOL TO A MINOR,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
GRAFFITI VANDALISM,,gross misdemeanor,public order,considered malicious mischief,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2C%20GRAFFITI,,,,,
HAB OFFENDER,,other,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=46.65.010,,,,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.65.020
HARASS  /DV,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HARASS-THREAT PROP DAMAGE,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
